Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,10,10:00 - 10:14,Cashier,108.56,13,8.35,13,8.35,13,8.35,1.0,1.0
,,10,10:15 - 10:29,Cashier,81.26,12,6.77,12,6.77,12,6.77,1.0,1.0
,,10,10:30 - 10:44,Cashier,89.87,12,7.49,12,7.49,12,7.49,1.0,1.0
,,10,10:45 - 10:59,Cashier,46.48,10,4.65,10,4.65,10,4.65,1.0,1.0
,,10,11:00 - 11:14,Cashier,52.24,8,6.53,8,6.53,8,6.53,1.0,1.0
,,10,11:15 - 11:29,Cashier,98.55,9,10.95,9,10.95,9,10.95,1.0,1.0
,,10,11:30 - 11:44,Cashier,57.07,8,7.13,8,7.13,8,7.13,1.0,1.0
,,10,11:45 - 11:59,Cashier,87.43,11,7.95,11,7.95,11,7.95,1.0,1.0
,,10,12:00 - 12:14,Cashier,120.03,17,7.06,17,7.06,17,7.06,1.0,1.0
,,10,12:15 - 12:29,Cashier,94.57,13,7.27,13,7.27,13,7.27,1.0,1.0
,,10,12:30 - 12:44,Cashier,87.5,9,9.72,9,9.72,9,9.72,1.0,1.0
,,10,12:45 - 12:59,Cashier,54.26,10,5.43,10,5.43,10,5.43,1.0,1.0
,,10,13:00 - 13:14,Cashier,86.92,13,6.69,13,6.69,13,6.69,1.0,1.0
,,10,13:15 - 13:29,Cashier,54.68,7,7.81,7,7.81,7,7.81,1.0,1.0
,,10,13:30 - 13:44,Cashier,35.41,5,7.08,5,7.08,5,7.08,1.0,1.0
,,10,13:45 - 13:59,Cashier,57.44,8,7.18,8,7.18,8,7.18,1.0,1.0
,,10,14:00 - 14:14,Cashier,43.72,7,6.25,7,6.25,7,6.25,1.0,1.0
,,10,14:15 - 14:29,Cashier,89.98,11,8.18,11,8.18,11,8.18,1.0,1.0
,,10,14:30 - 14:44,Cashier,96.13,13,7.39,13,7.39,13,7.39,1.0,1.0
,,10,14:45 - 14:59,Cashier,31.44,6,5.24,6,5.24,6,5.24,1.0,1.0
,,10,15:00 - 15:14,Cashier,78.32,11,7.12,11,7.12,11,7.12,1.0,1.0
,,10,15:15 - 15:29,Cashier,79.02,13,6.08,13,6.08,13,6.08,1.0,1.0
,,10,15:30 - 15:44,Cashier,90.16,12,7.51,12,7.51,12,7.51,1.0,1.0
,,10,15:45 - 15:59,Cashier,15.73,4,3.93,4,3.93,4,3.93,1.0,1.0
